T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE,YEAR,MONTH,HEAVY_RAIN,HEATWAVE,EXTREME_RAIN,TEMP_ANOMALY,TEMP_MA30,TEMP_RANGE,TEMP_MA7,RAIN_MA7
23.9,34.38,14.06,42.92,3.63,0.0,2013-02-24,2013,2,False,0,0,-1.9486859395532186,19.725,20.32,21.34,1.022857142857143
24.67,33.6,16.97,46.69,3.9,0.0,2013-02-25,2013,2,False,0,0,-1.1786859395532154,20.067333333333334,16.630000000000003,21.88714285714286,0.0
24.4,33.11,17.2,47.19,3.78,0.0,2013-02-26,2013,2,False,0,0,-1.4486859395532186,20.401666666666664,15.91,22.574285714285715,0.0
23.65,33.74,15.46,37.31,3.96,0.0,2013-02-27,2013,2,False,0,0,-2.1986859395532186,20.700666666666667,18.28,23.039999999999996,0.0
24.48,35.26,14.59,39.98,4.02,0.0,2013-02-28,2013,2,False,0,0,-1.3686859395532167,21.012,20.669999999999998,23.604285714285716,0.0
23.43,33.29,15.12,36.45,4.6,0.0,2013-03-01,2013,3,False,0,0,-2.4186859395532174,21.274333333333335,18.17,23.882857142857144,0.0
22.46,33.12,12.87,34.54,3.62,0.0,2013-03-02,2013,3,False,0,0,-3.3886859395532163,21.461,20.25,23.85571428571428,0.0
22.87,33.59,13.38,35.93,3.48,0.0,2013-03-03,2013,3,False,0,0,-2.978685939553216,21.71966666666667,20.21,23.708571428571428,0.0
23.73,34.18,13.71,35.12,2.79,0.0,2013-03-04,2013,3,False,0,0,-2.1186859395532167,21.942333333333334,20.47,23.57428571428571,0.0
24.35,34.65,14.98,40.57,2.76,0.0,2013-03-05,2013,3,False,0,0,-1.4986859395532157,22.116,19.669999999999998,23.56714285714286,0.0
24.95,34.86,16.13,45.52,2.56,0.0,2013-03-06,2013,3,False,0,0,-0.8986859395532178,22.27766666666667,18.73,23.752857142857145,0.0
24.71,34.96,15.44,38.35,2.33,0.0,2013-03-07,2013,3,False,0,0,-1.1386859395532163,22.401,19.520000000000003,23.785714285714285,0.0
24.7,35.19,15.1,35.27,2.69,0.0,2013-03-08,2013,3,False,0,0,-1.1486859395532178,22.485333333333337,20.089999999999996,23.967142857142854,0.0
25.13,34.7,15.99,38.81,2.46,0.0,2013-03-09,2013,3,False,0,0,-0.7186859395532181,22.546666666666667,18.71,24.34857142857143,0.0
26.03,35.76,17.39,53.94,3.1,0.0,2013-03-10,2013,3,False,0,0,0.181314060446784,22.657666666666668,18.369999999999997,24.8,0.0
27.8,36.37,20.52,62.14,3.17,0.0,2013-03-11,2013,3,False,0,0,1.9513140604467836,22.918999999999997,15.849999999999998,25.381428571428575,0.0
28.64,37.44,21.64,57.92,2.73,0.0,2013-03-12,2013,3,False,0,0,2.7913140604467834,23.269000000000002,15.799999999999997,25.994285714285713,0.0
28.51,37.87,21.12,48.59,1.8,0.0,2013-03-13,2013,3,False,0,0,2.6613140604467844,23.578666666666667,16.749999999999996,26.502857142857145,0.0
28.11,36.17,21.2,54.44,2.31,0.0,2013-03-14,2013,3,False,0,0,2.2613140604467823,23.861,14.970000000000002,26.988571428571426,0.0
27.98,35.1,21.96,57.47,1.91,0.11,2013-03-15,2013,3,False,0,0,2.1313140604467833,24.075333333333333,13.14,27.45714285714286,0.015714285714285715
29.21,37.95,21.26,48.66,2.28,0.2,2013-03-16,2013,3,False,0,0,3.3613140604467837,24.302666666666667,16.69,28.040000000000003,0.04428571428571428
28.47,36.88,22.06,55.37,2.27,5.95,2013-03-17,2013,3,False,0,0,2.6213140604467817,24.469333333333335,14.820000000000004,28.38857142857143,0.8942857142857142
27.44,35.15,20.46,45.1,2.94,0.03,2013-03-18,2013,3,False,0,0,1.5913140604467841,24.586,14.689999999999998,28.337142857142858,0.8985714285714286
27.41,36.31,19.55,50.31,3.25,0.0,2013-03-19,2013,3,False,0,0,1.561314060446783,24.750333333333334,16.76,28.161428571428576,0.8985714285714286
